-3.80283,-3.75052,-3.63112,-3.42775,-3.10551,-2.603,-1.8852,-0.999373,0,0,
-3.8271,-3.77618,-3.67912,-3.47846,-3.20812,-2.87578,-2.38382,-1.74833,-0.961848,0,
-3.97417,-3.89829,-3.78094,-3.62852,-3.42771,-3.14214,-2.75745,-2.30786,-1.75049,-0.999373,
-4.11526,-4.04623,-3.95188,-3.82055,-3.61786,-3.36724,-3.09145,-2.78316,-2.38886,-1.88456,
-4.28067,-4.24608,-4.11813,-3.9833,-3.81434,-3.59157,-3.37727,-3.13441,-2.89227,-2.5976,
-4.51332,-4.41044,-4.31514,-4.17496,-3.99666,-3.79272,-3.61199,-3.41974,-3.23851,-3.09028,
-4.72352,-4.6345,-4.50285,-4.34428,-4.14881,-3.9903,-3.81271,-3.62201,-3.48365,-3.41335,
-4.99703,-4.88106,-4.69545,-4.51368,-4.30235,-4.15001,-3.9741,-3.8232,-3.68941,-3.66221,
-5.28931,-5.10872,-4.88342,-4.64078,-4.432,-4.24367,-4.06037,-3.93341,-3.83045,-3.76475,
-5.62235,-5.29413,-4.99751,-4.74404,-4.5194,-4.30399,-4.12963,-3.96127,-3.88883,-3.8271,
